epoch,lr,train_loss,val_loss,val_pixel_acc,val_iou,val_dice,val_mse,secs
1,1.00e-03,0.37614,0.25819,0.8944,0.4807,0.6167,0.07793,19.0
2,1.00e-03,0.21168,0.24913,0.8946,0.4553,0.5983,0.07655,19.7
3,1.00e-03,0.18493,0.23945,0.8942,0.4772,0.6114,0.07579,18.3
4,1.00e-03,0.17160,0.22033,0.8990,0.4706,0.6174,0.07040,17.4
5,1.00e-03,0.16123,0.24289,0.9005,0.4877,0.6276,0.07343,17.6
6,1.00e-03,0.14910,0.18916,0.9138,0.5436,0.6851,0.06030,18.8
7,1.00e-03,0.13896,0.21531,0.9055,0.5386,0.6774,0.06719,18.3
8,1.00e-03,0.12722,0.18888,0.9142,0.5745,0.7078,0.05986,17.6
9,1.00e-03,0.12267,0.17943,0.9199,0.5770,0.7167,0.05648,17.8
10,1.00e-03,0.11396,0.34469,0.8731,0.4517,0.5863,0.09602,18.1
11,1.00e-03,0.11964,0.16873,0.9286,0.6018,0.7371,0.05122,18.7
12,1.00e-03,0.11005,0.19233,0.9248,0.5808,0.7190,0.05557,19.4
13,1.00e-03,0.10390,0.20150,0.9212,0.5758,0.7137,0.05822,18.9
14,1.00e-03,0.10175,0.15402,0.9335,0.6240,0.7579,0.04754,19.2
15,1.00e-03,0.09734,0.20840,0.9130,0.5796,0.7111,0.06312,18.9
16,1.00e-03,0.10385,0.19264,0.9276,0.6034,0.7370,0.05401,18.9
17,1.00e-03,0.09424,0.19215,0.9290,0.6128,0.7439,0.05308,19.3
18,1.00e-03,0.09296,0.19155,0.9231,0.6036,0.7343,0.05612,20.4
19,1.00e-03,0.08888,0.27549,0.9091,0.5415,0.6819,0.07008,19.0
20,5.00e-04,0.08906,0.27160,0.9206,0.5761,0.7092,0.06204,18.3
21,5.00e-04,0.08421,0.20770,0.9254,0.6046,0.7346,0.05610,18.4
22,5.00e-04,0.08443,0.19560,0.9269,0.6134,0.7403,0.05447,18.9
23,5.00e-04,0.09131,0.18151,0.9295,0.6271,0.7535,0.05196,19.0
24,5.00e-04,0.08126,0.22681,0.9250,0.6010,0.7326,0.05749,18.7
25,5.00e-04,0.08183,0.23048,0.9201,0.5819,0.7152,0.06077,17.8
26,5.00e-04,0.07954,0.22762,0.9248,0.6127,0.7374,0.05742,17.8
27,5.00e-04,0.07821,0.20515,0.9279,0.6104,0.7379,0.05431,18.4
28,5.00e-04,0.07953,0.21470,0.9279,0.6068,0.7375,0.05486,18.5
29,2.50e-04,0.07796,0.21255,0.9276,0.6128,0.7397,0.05490,18.3
30,2.50e-04,0.07701,0.22199,0.9245,0.6055,0.7327,0.05749,17.2
31,2.50e-04,0.07671,0.21451,0.9274,0.6158,0.7414,0.05537,18.1
32,2.50e-04,0.07546,0.21398,0.9282,0.6196,0.7450,0.05462,17.9
33,2.50e-04,0.07450,0.20966,0.9290,0.6185,0.7445,0.05398,20.2
34,2.50e-04,0.07607,0.19088,0.9307,0.6235,0.7510,0.05203,19.5
35,1.25e-04,0.07405,0.24480,0.9258,0.6026,0.7320,0.05779,22.1
36,1.25e-04,0.07368,0.20967,0.9288,0.6199,0.7458,0.05406,22.4
37,1.25e-04,0.07307,0.23120,0.9262,0.6106,0.7348,0.05690,19.8
38,1.25e-04,0.07231,0.21820,0.9278,0.6164,0.7416,0.05515,22.0
