epoch,lr,train_loss,val_loss,val_pixel_acc,val_iou,val_dice,val_mse,secs
1,1.00e-03,0.40311,0.25533,0.8893,0.4186,0.5707,0.07922,18.5
2,1.00e-03,0.22771,0.23893,0.8986,0.4750,0.6152,0.07372,18.6
3,1.00e-03,0.22064,0.23839,0.8988,0.4719,0.6129,0.07387,17.1
4,1.00e-03,0.21589,0.22824,0.8984,0.4885,0.6248,0.07120,17.4
5,1.00e-03,0.21248,0.22280,0.8989,0.4717,0.6109,0.07069,18.4
6,1.00e-03,0.20972,0.22160,0.8989,0.4651,0.6071,0.07058,18.2
7,1.00e-03,0.20840,0.23678,0.8983,0.4839,0.6220,0.07335,18.5
8,1.00e-03,0.20513,0.21808,0.9005,0.4786,0.6191,0.06909,18.3
9,1.00e-03,0.20109,0.21570,0.9044,0.4839,0.6353,0.06831,18.8
10,1.00e-03,0.20450,0.20478,0.9088,0.5045,0.6514,0.06447,18.4
11,1.00e-03,0.18826,0.21737,0.9030,0.5016,0.6443,0.06872,18.3
12,1.00e-03,0.18433,0.22842,0.8991,0.4740,0.6206,0.07209,18.0
13,1.00e-03,0.17809,0.26528,0.9004,0.4746,0.6142,0.07488,18.1
14,1.00e-03,0.16897,0.19606,0.9134,0.5333,0.6783,0.06175,18.8
15,1.00e-03,0.16466,0.20682,0.9161,0.5375,0.6808,0.06182,18.5
16,1.00e-03,0.14880,0.18614,0.9198,0.5524,0.6993,0.05766,19.4
17,1.00e-03,0.14160,0.16139,0.9297,0.5958,0.7359,0.05010,20.0
18,1.00e-03,0.13812,0.21742,0.9179,0.5458,0.6905,0.06136,19.8
19,1.00e-03,0.13836,0.18948,0.9241,0.5687,0.7117,0.05616,20.2
20,1.00e-03,0.13552,0.20912,0.9191,0.5563,0.6968,0.06005,19.2
21,1.00e-03,0.13204,0.16486,0.9289,0.5986,0.7373,0.05099,19.1
22,1.00e-03,0.12860,0.19320,0.9217,0.5671,0.7086,0.05742,19.7
23,1.00e-03,0.12023,0.23331,0.9106,0.5278,0.6738,0.06611,18.9
24,1.00e-03,0.12502,0.16677,0.9292,0.6062,0.7414,0.05088,18.5
25,1.00e-03,0.11739,0.17343,0.9262,0.5852,0.7253,0.05291,19.0
26,1.00e-03,0.11578,0.20682,0.9238,0.5884,0.7235,0.05652,18.6
27,1.00e-03,0.12308,0.18223,0.9252,0.5969,0.7316,0.05417,18.4
28,1.00e-03,0.12043,0.19498,0.9259,0.5933,0.7296,0.05509,19.4
29,1.00e-03,0.12197,0.14795,0.9345,0.6192,0.7541,0.04620,18.8
30,1.00e-03,0.11513,0.15821,0.9316,0.6078,0.7456,0.04843,19.2
31,1.00e-03,0.10934,0.17944,0.9309,0.6189,0.7513,0.05077,19.4
32,1.00e-03,0.12469,0.20809,0.9191,0.5813,0.7144,0.05984,19.4
33,1.00e-03,0.11313,0.17303,0.9291,0.5937,0.7361,0.05138,28.6
34,1.00e-03,0.10934,0.16155,0.9331,0.6132,0.7511,0.04832,20.1
35,5.00e-04,0.10686,0.17859,0.9304,0.6170,0.7491,0.05118,19.0
36,5.00e-04,0.09924,0.15985,0.9362,0.6348,0.7667,0.04662,19.3
37,5.00e-04,0.09755,0.15967,0.9363,0.6405,0.7703,0.04664,19.2
38,5.00e-04,0.09555,0.15069,0.9389,0.6484,0.7767,0.04443,19.6
39,5.00e-04,0.09704,0.17242,0.9339,0.6368,0.7640,0.04874,18.9
40,5.00e-04,0.09570,0.16976,0.9356,0.6341,0.7635,0.04770,24.1
41,5.00e-04,0.09408,0.18867,0.9291,0.5974,0.7364,0.05248,19.1
42,5.00e-04,0.10129,0.20822,0.9290,0.6112,0.7400,0.05389,19.4
43,5.00e-04,0.09357,0.18481,0.9322,0.6146,0.7493,0.05049,19.0
44,2.50e-04,0.09386,0.17708,0.9344,0.6316,0.7614,0.04853,19.0
45,2.50e-04,0.09134,0.17491,0.9345,0.6304,0.7611,0.04848,18.8
46,2.50e-04,0.09005,0.17738,0.9348,0.6308,0.7612,0.04830,19.0
47,2.50e-04,0.08948,0.20324,0.9310,0.6206,0.7506,0.05228,19.2
48,2.50e-04,0.09040,0.19150,0.9326,0.6246,0.7550,0.05061,20.0
49,2.50e-04,0.08883,0.19172,0.9328,0.6268,0.7564,0.05034,18.8
50,1.25e-04,0.09417,0.18363,0.9329,0.6235,0.7545,0.04982,19.4
51,1.25e-04,0.08899,0.18186,0.9343,0.6322,0.7616,0.04899,19.8
52,1.25e-04,0.08803,0.17934,0.9342,0.6303,0.7609,0.04891,17.9
53,1.25e-04,0.08680,0.18076,0.9348,0.6319,0.7620,0.04858,18.1
