epoch,lr,train_loss,val_loss,val_pixel_acc,val_iou,val_dice,val_mse,secs
1,1.00e-03,0.40200,0.25062,0.8940,0.4599,0.6015,0.07622,20.0
2,1.00e-03,0.22439,0.23404,0.8987,0.4786,0.6179,0.07303,19.0
3,1.00e-03,0.21623,0.22471,0.8986,0.4864,0.6253,0.07090,18.7
4,1.00e-03,0.21405,0.22748,0.8983,0.4721,0.6132,0.07123,18.5
5,1.00e-03,0.21117,0.28153,0.8982,0.4812,0.6181,0.07909,18.2
6,1.00e-03,0.20797,0.22170,0.9022,0.4779,0.6212,0.06953,18.2
7,1.00e-03,0.20376,0.35952,0.8975,0.4840,0.6188,0.08439,18.0
8,1.00e-03,0.20109,0.19816,0.9125,0.5166,0.6632,0.06207,17.2
9,1.00e-03,0.18755,0.20080,0.9136,0.5361,0.6761,0.06244,17.6
10,1.00e-03,0.18095,0.21719,0.9087,0.5165,0.6587,0.06633,18.1
11,1.00e-03,0.16538,0.19081,0.9175,0.5494,0.6932,0.05924,17.4
12,1.00e-03,0.16316,0.21537,0.9115,0.5297,0.6707,0.06485,18.1
13,1.00e-03,0.19096,0.21549,0.9074,0.5232,0.6645,0.06632,16.9
14,1.00e-03,0.15864,0.21528,0.9031,0.5111,0.6503,0.06811,17.5
15,1.00e-03,0.15028,0.19041,0.9180,0.5484,0.6902,0.05849,17.0
16,1.00e-03,0.14595,0.17571,0.9212,0.5665,0.7099,0.05518,17.9
17,1.00e-03,0.15828,0.19965,0.9180,0.5529,0.6917,0.05968,17.3
18,1.00e-03,0.13942,0.18163,0.9179,0.5441,0.6848,0.05735,17.1
19,1.00e-03,0.13318,0.21677,0.9192,0.5571,0.6966,0.05985,17.2
20,1.00e-03,0.13450,0.16811,0.9268,0.5758,0.7178,0.05203,17.7
21,1.00e-03,0.12333,0.16113,0.9292,0.5894,0.7270,0.05007,17.6
22,1.00e-03,0.11973,0.18845,0.9231,0.5809,0.7187,0.05548,17.8
23,1.00e-03,0.11610,0.16207,0.9329,0.6165,0.7495,0.04831,17.3
24,1.00e-03,0.11639,0.15388,0.9336,0.6106,0.7446,0.04720,17.6
25,1.00e-03,0.11614,0.15452,0.9349,0.6099,0.7461,0.04680,18.7
26,1.00e-03,0.10961,0.15531,0.9372,0.6219,0.7557,0.04551,19.8
27,1.00e-03,0.10673,0.14516,0.9376,0.6398,0.7690,0.04445,18.1
28,1.00e-03,0.11732,0.16577,0.9329,0.6231,0.7534,0.04895,17.8
29,1.00e-03,0.10858,0.16571,0.9350,0.6229,0.7554,0.04790,17.2
30,1.00e-03,0.10205,0.14969,0.9386,0.6319,0.7622,0.04393,17.8
31,1.00e-03,0.10429,0.15447,0.9378,0.6393,0.7671,0.04526,18.7
32,1.00e-03,0.12096,0.15065,0.9355,0.6299,0.7596,0.04630,18.9
33,5.00e-04,0.11347,0.17818,0.9260,0.6013,0.7355,0.05332,17.4
34,5.00e-04,0.10354,0.13965,0.9409,0.6523,0.7773,0.04216,17.4
35,5.00e-04,0.09782,0.14197,0.9410,0.6562,0.7809,0.04247,17.6
36,5.00e-04,0.09671,0.14791,0.9402,0.6494,0.7756,0.04321,17.2
37,5.00e-04,0.09527,0.14078,0.9418,0.6592,0.7821,0.04167,17.9
38,5.00e-04,0.09633,0.14867,0.9403,0.6485,0.7746,0.04338,17.1
39,5.00e-04,0.09413,0.15017,0.9407,0.6503,0.7761,0.04297,17.4
40,5.00e-04,0.09406,0.14629,0.9416,0.6592,0.7825,0.04211,17.3
41,5.00e-04,0.09384,0.14457,0.9428,0.6604,0.7841,0.04150,17.0
42,5.00e-04,0.09102,0.15873,0.9397,0.6482,0.7746,0.04424,17.9
43,5.00e-04,0.09413,0.14920,0.9408,0.6520,0.7767,0.04291,17.8
44,5.00e-04,0.09372,0.14882,0.9410,0.6526,0.7787,0.04286,55.3
45,5.00e-04,0.09064,0.15515,0.9410,0.6510,0.7768,0.04345,21.1
46,5.00e-04,0.09195,0.14746,0.9418,0.6535,0.7787,0.04218,22.2
47,5.00e-04,0.09145,0.14391,0.9431,0.6626,0.7854,0.04126,20.1
48,5.00e-04,0.08850,0.15576,0.9411,0.6547,0.7791,0.04326,20.2
49,5.00e-04,0.08864,0.15154,0.9413,0.6531,0.7786,0.04277,20.8
50,5.00e-04,0.08866,0.15026,0.9417,0.6596,0.7823,0.04263,20.3
51,5.00e-04,0.08751,0.15871,0.9404,0.6504,0.7762,0.04372,19.1
52,5.00e-04,0.09105,0.15955,0.9409,0.6544,0.7790,0.04351,20.1
53,2.50e-04,0.08964,0.15471,0.9403,0.6476,0.7736,0.04361,19.9
54,2.50e-04,0.08835,0.14965,0.9425,0.6623,0.7853,0.04208,19.1
55,2.50e-04,0.08478,0.15596,0.9415,0.6564,0.7808,0.04312,19.1
56,2.50e-04,0.08525,0.14954,0.9434,0.6633,0.7859,0.04165,18.7
57,2.50e-04,0.08965,0.15457,0.9412,0.6532,0.7778,0.04297,19.4
58,2.50e-04,0.08567,0.14777,0.9431,0.6653,0.7870,0.04154,19.8
59,2.50e-04,0.08423,0.15214,0.9420,0.6606,0.7840,0.04260,19.3
60,2.50e-04,0.08694,0.14521,0.9430,0.6657,0.7877,0.04150,19.1
61,2.50e-04,0.08976,0.15029,0.9419,0.6581,0.7823,0.04252,19.4
62,2.50e-04,0.08592,0.14492,0.9432,0.6640,0.7874,0.04118,21.5
63,2.50e-04,0.08540,0.14769,0.9432,0.6643,0.7875,0.04163,19.2
64,2.50e-04,0.08476,0.14860,0.9424,0.6640,0.7870,0.04209,20.3
65,2.50e-04,0.09072,0.17803,0.9359,0.6404,0.7658,0.04791,18.7
66,1.25e-04,0.08558,0.15028,0.9421,0.6609,0.7837,0.04241,19.0
67,1.25e-04,0.08324,0.15146,0.9419,0.6629,0.7857,0.04263,18.4
68,1.25e-04,0.08267,0.15996,0.9408,0.6559,0.7804,0.04391,18.2
69,1.25e-04,0.08329,0.14997,0.9432,0.6661,0.7882,0.04179,18.8
70,1.25e-04,0.08300,0.15813,0.9417,0.6595,0.7827,0.04331,20.1
71,1.25e-04,0.08230,0.16030,0.9410,0.6599,0.7825,0.04376,18.2
72,1.25e-04,0.08147,0.15472,0.9422,0.6628,0.7855,0.04266,18.6
73,1.25e-04,0.08264,0.15697,0.9419,0.6620,0.7842,0.04294,18.6
74,1.25e-04,0.08123,0.15696,0.9415,0.6602,0.7829,0.04320,18.4
75,6.25e-05,0.08135,0.16182,0.9409,0.6568,0.7806,0.04393,18.6
76,6.25e-05,0.08300,0.15677,0.9412,0.6591,0.7826,0.04325,18.7
77,6.25e-05,0.08160,0.15718,0.9416,0.6606,0.7836,0.04323,18.5
78,6.25e-05,0.08085,0.15678,0.9420,0.6614,0.7842,0.04293,19.4
79,6.25e-05,0.08107,0.15747,0.9417,0.6601,0.7831,0.04307,18.6
80,6.25e-05,0.08091,0.15841,0.9416,0.6592,0.7825,0.04315,18.7
81,3.13e-05,0.08111,0.15716,0.9420,0.6626,0.7854,0.04294,19.2
82,3.13e-05,0.08059,0.15871,0.9418,0.6616,0.7843,0.04317,19.4
83,3.13e-05,0.08017,0.16081,0.9415,0.6606,0.7835,0.04350,19.2
84,3.13e-05,0.08057,0.16139,0.9415,0.6595,0.7827,0.04359,18.8
