epoch,lr,train_loss,val_loss,val_pixel_acc,val_iou,val_dice,val_mse,secs
1,1.00e-03,0.37282,0.26769,0.8949,0.4631,0.6007,0.07918,22.5
2,1.00e-03,0.21665,0.25206,0.8949,0.4602,0.6017,0.07696,32.5
3,1.00e-03,0.18905,0.24067,0.8961,0.4727,0.6119,0.07491,20.2
4,1.00e-03,0.17564,0.25516,0.8956,0.4819,0.6170,0.07732,21.5
5,1.00e-03,0.16017,0.23942,0.9003,0.4875,0.6302,0.07264,19.1
6,1.00e-03,0.15265,0.20411,0.9102,0.5218,0.6669,0.06372,18.3
7,1.00e-03,0.14039,0.20980,0.9061,0.5292,0.6669,0.06579,17.6
8,1.00e-03,0.14062,0.28196,0.8978,0.5090,0.6441,0.07692,19.8
9,1.00e-03,0.12328,0.28738,0.8816,0.4515,0.5967,0.08616,20.0
10,1.00e-03,0.11599,0.21242,0.9202,0.5695,0.7097,0.05919,17.8
11,1.00e-03,0.11081,0.38304,0.9045,0.5028,0.6410,0.07775,18.4
12,1.00e-03,0.10472,0.23913,0.9074,0.5325,0.6744,0.06881,19.0
13,1.00e-03,0.10451,0.21242,0.9138,0.5632,0.6982,0.06300,18.4
14,1.00e-03,0.10001,0.20810,0.9225,0.5797,0.7181,0.05806,18.7
15,1.00e-03,0.09752,0.19698,0.9245,0.5872,0.7243,0.05600,19.0
16,1.00e-03,0.10468,0.27446,0.9072,0.5333,0.6665,0.07123,18.5
17,1.00e-03,0.10248,0.26022,0.8950,0.5137,0.6440,0.07682,19.4
18,1.00e-03,0.09246,0.18398,0.9294,0.6196,0.7494,0.05234,17.7
19,1.00e-03,0.08942,0.34692,0.9100,0.5363,0.6675,0.07205,20.7
20,1.00e-03,0.08882,0.23934,0.9156,0.5650,0.6964,0.06399,18.7
21,1.00e-03,0.08897,0.38899,0.9019,0.5283,0.6551,0.07983,19.5
22,1.00e-03,0.08424,0.22197,0.9270,0.6054,0.7351,0.05546,18.7
23,1.00e-03,0.08222,0.26328,0.9206,0.5791,0.7071,0.06200,18.4
24,5.00e-04,0.08087,0.22442,0.9271,0.6006,0.7338,0.05567,19.7
25,5.00e-04,0.07868,0.19200,0.9302,0.6225,0.7460,0.05197,20.0
26,5.00e-04,0.07812,0.17985,0.9331,0.6365,0.7596,0.04976,18.3
27,5.00e-04,0.07692,0.19330,0.9312,0.6339,0.7575,0.05180,19.5
28,5.00e-04,0.07625,0.18624,0.9304,0.6188,0.7450,0.05164,19.4
29,5.00e-04,0.07523,0.18132,0.9338,0.6311,0.7549,0.04923,20.0
30,5.00e-04,0.07785,0.20095,0.9302,0.6237,0.7494,0.05258,19.1
31,5.00e-04,0.07345,0.19431,0.9335,0.6294,0.7545,0.05019,19.1
32,2.50e-04,0.07208,0.19470,0.9325,0.6223,0.7472,0.05096,17.8
33,2.50e-04,0.07086,0.19343,0.9325,0.6273,0.7513,0.05077,19.0
34,2.50e-04,0.07092,0.19694,0.9307,0.6213,0.7475,0.05226,18.8
35,2.50e-04,0.07310,0.19400,0.9332,0.6282,0.7533,0.05024,20.6
36,2.50e-04,0.07024,0.22404,0.9288,0.6204,0.7433,0.05469,22.4
37,2.50e-04,0.07109,0.22800,0.9285,0.6207,0.7436,0.05493,20.6
38,1.25e-04,0.06831,0.20818,0.9309,0.6165,0.7427,0.05233,21.0
39,1.25e-04,0.06781,0.20763,0.9330,0.6283,0.7527,0.05112,20.9
40,1.25e-04,0.06874,0.21171,0.9313,0.6242,0.7483,0.05239,20.7
41,1.25e-04,0.06822,0.21790,0.9282,0.6150,0.7394,0.05472,20.3
