epoch,lr,train_loss,val_loss,val_pixel_acc,val_iou,val_dice,val_mse,time_s
1,0.001,0.36360,0.23588,0.90032,0.46688,0.60913,0.07346,17.93
2,0.001,0.21926,0.23413,0.90056,0.48607,0.62437,0.07220,17.85
3,0.001,0.21564,0.22078,0.90150,0.49871,0.63295,0.06992,20.47
4,0.001,0.20850,0.21145,0.90567,0.49810,0.63903,0.06663,16.45
5,0.001,0.19461,0.42207,0.85157,0.38374,0.51724,0.11782,16.57
6,0.001,0.17954,0.19471,0.91113,0.52680,0.66460,0.06171,15.48
7,0.001,0.17375,0.19617,0.91225,0.52121,0.66779,0.06204,16.94
8,0.001,0.16755,0.17592,0.92117,0.55771,0.69686,0.05539,15.59
9,0.001,0.16399,0.21050,0.90838,0.49833,0.64914,0.06525,16.98
10,0.001,0.15734,0.26190,0.87485,0.42108,0.56256,0.08506,15.35
11,0.001,0.16329,0.20158,0.91441,0.54722,0.68177,0.06186,15.72
12,0.001,0.15198,0.18588,0.91765,0.53119,0.68050,0.05823,15.94
13,0.001,0.14579,0.24792,0.88784,0.45191,0.59620,0.07887,15.44
14,0.0005,0.14663,0.20707,0.90117,0.51355,0.65141,0.06693,16.01
15,0.0005,0.13742,0.18639,0.91474,0.53518,0.67683,0.05926,15.79
16,0.0005,0.12895,0.16820,0.92297,0.57088,0.70975,0.05340,16.98
17,0.0005,0.12706,0.23512,0.91089,0.54350,0.67603,0.06622,18.45
18,0.0005,0.12566,0.17837,0.92311,0.57949,0.71552,0.05500,18.16
19,0.0005,0.12525,0.22571,0.91850,0.55639,0.68966,0.06170,16.53
20,0.0005,0.12734,0.17939,0.92241,0.57780,0.71410,0.05512,16.15
21,0.0005,0.12260,0.17749,0.92234,0.56289,0.70471,0.05506,16.22
22,0.0005,0.11970,0.18873,0.92309,0.57588,0.71369,0.05584,21.20
23,0.0005,0.11634,0.19532,0.92176,0.57891,0.71331,0.05703,17.58
24,0.00025,0.11437,0.18915,0.91922,0.54850,0.69199,0.05762,17.02
25,0.00025,0.11141,0.18971,0.92304,0.57012,0.70994,0.05589,17.77
26,0.00025,0.10931,0.19883,0.92253,0.57347,0.70890,0.05672,23.30
27,0.00025,0.10821,0.18605,0.92179,0.56728,0.70741,0.05623,16.99
28,0.00025,0.11010,0.19337,0.92296,0.57023,0.70945,0.05612,18.79
29,0.00025,0.10926,0.21578,0.91966,0.55309,0.69427,0.05938,16.71
30,0.000125,0.11009,0.20336,0.92314,0.57135,0.70932,0.05661,21.27
31,0.000125,0.10598,0.19499,0.92258,0.57362,0.71142,0.05637,17.42
32,0.000125,0.10652,0.20144,0.92229,0.56851,0.70757,0.05706,15.66
33,0.000125,0.10707,0.19736,0.92279,0.57616,0.71229,0.05652,16.29
