epoch,lr,train_loss,val_loss,val_pixel_acc,val_iou,val_dice,val_mse,secs
1,1.00e-03,0.34548,0.28792,0.8934,0.4728,0.6110,0.08121,19.9
2,1.00e-03,0.16090,0.34028,0.8946,0.4667,0.6037,0.08338,20.6
3,1.00e-03,0.13500,0.38841,0.8934,0.4678,0.6027,0.08663,19.4
4,1.00e-03,0.12514,0.40447,0.8941,0.4323,0.5742,0.08591,18.7
5,1.00e-03,0.11432,0.40737,0.8956,0.4673,0.6041,0.08574,18.8
6,1.00e-03,0.10750,0.41020,0.8979,0.4793,0.6153,0.08344,18.5
7,1.00e-03,0.10252,0.48133,0.8861,0.4602,0.5962,0.09281,19.6
8,1.00e-03,0.09731,0.44326,0.8775,0.4411,0.5770,0.09769,20.2
9,1.00e-03,0.09169,0.38100,0.9028,0.5114,0.6501,0.07806,19.7
10,1.00e-03,0.08843,0.49470,0.8593,0.4136,0.5459,0.11209,18.6
11,1.00e-03,0.08845,0.66627,0.8636,0.3932,0.5338,0.11463,18.5
12,1.00e-03,0.08435,0.35389,0.9042,0.5336,0.6653,0.07706,18.3
13,1.00e-03,0.08116,0.29794,0.9195,0.5751,0.7090,0.06411,26.9
14,1.00e-03,0.07885,0.33697,0.9145,0.5456,0.6815,0.06883,26.2
15,1.00e-03,0.07788,0.55007,0.8947,0.4727,0.6047,0.08893,27.4
16,1.00e-03,0.07585,0.38205,0.9046,0.5040,0.6471,0.07737,27.9
17,1.00e-03,0.07302,0.39852,0.9084,0.5046,0.6489,0.07432,25.5
18,1.00e-03,0.07234,0.45227,0.9068,0.5065,0.6443,0.07702,24.7
19,5.00e-04,0.07045,0.33855,0.9143,0.5412,0.6829,0.06913,20.7
20,5.00e-04,0.06821,0.28096,0.9251,0.5903,0.7255,0.05966,18.5
21,5.00e-04,0.06680,0.28325,0.9269,0.5985,0.7321,0.05853,18.9
22,5.00e-04,0.06589,0.29632,0.9234,0.5827,0.7184,0.06130,18.5
23,5.00e-04,0.06494,0.31832,0.9231,0.5720,0.7118,0.06208,19.8
24,5.00e-04,0.06500,0.36243,0.9181,0.5673,0.7020,0.06702,18.8
25,5.00e-04,0.06483,0.32292,0.9229,0.5781,0.7160,0.06263,18.7
26,5.00e-04,0.06324,0.35532,0.9198,0.5656,0.7008,0.06566,20.0
27,2.50e-04,0.06330,0.26593,0.9279,0.5983,0.7332,0.05725,20.7
28,2.50e-04,0.06174,0.27208,0.9287,0.6027,0.7369,0.05703,19.5
29,2.50e-04,0.06150,0.30054,0.9257,0.5927,0.7256,0.05979,19.2
30,2.50e-04,0.06081,0.29376,0.9267,0.6022,0.7344,0.05901,19.1
31,2.50e-04,0.06043,0.31936,0.9240,0.5910,0.7217,0.06164,19.1
32,2.50e-04,0.06050,0.35955,0.9212,0.5802,0.7123,0.06471,18.5
33,2.50e-04,0.06002,0.30157,0.9260,0.5946,0.7292,0.05970,18.3
34,1.25e-04,0.05993,0.29616,0.9254,0.5887,0.7263,0.05998,18.6
35,1.25e-04,0.05904,0.33228,0.9243,0.5926,0.7220,0.06167,19.1
36,1.25e-04,0.05860,0.30894,0.9264,0.5963,0.7283,0.05958,19.5
37,1.25e-04,0.05859,0.37538,0.9193,0.5692,0.7018,0.06637,20.9
38,1.25e-04,0.05847,0.30844,0.9258,0.5936,0.7276,0.06002,21.4
39,1.25e-04,0.05872,0.36695,0.9219,0.5790,0.7102,0.06440,19.0
40,1.25e-04,0.05823,0.27869,0.9290,0.6101,0.7421,0.05711,18.2
41,1.25e-04,0.05848,0.33134,0.9245,0.5905,0.7229,0.06159,19.0
42,1.25e-04,0.05793,0.30873,0.9260,0.5968,0.7299,0.05996,18.1
43,1.25e-04,0.05855,0.31638,0.9253,0.5915,0.7267,0.06070,18.6
44,1.25e-04,0.05779,0.33217,0.9238,0.5846,0.7181,0.06210,19.6
45,1.25e-04,0.05713,0.34012,0.9230,0.5854,0.7191,0.06292,18.6
46,6.25e-05,0.05719,0.29084,0.9280,0.6005,0.7340,0.05800,18.8
47,6.25e-05,0.05716,0.34771,0.9222,0.5827,0.7150,0.06362,19.3
48,6.25e-05,0.05703,0.34289,0.9228,0.5847,0.7169,0.06309,19.6
49,6.25e-05,0.05680,0.31021,0.9262,0.5954,0.7286,0.05981,19.6
50,6.25e-05,0.05658,0.33875,0.9232,0.5828,0.7163,0.06269,19.3
51,6.25e-05,0.05666,0.34131,0.9235,0.5830,0.7164,0.06251,18.9
52,3.13e-05,0.05653,0.34535,0.9233,0.5826,0.7154,0.06272,18.8
53,3.13e-05,0.05632,0.34251,0.9230,0.5837,0.7166,0.06290,18.8
54,3.13e-05,0.05624,0.36449,0.9212,0.5751,0.7084,0.06461,19.0
55,3.13e-05,0.05622,0.34176,0.9237,0.5850,0.7178,0.06227,19.1
